title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Blue Nun Deutscher Tafelwein,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/blue-nun-deutscher-tafelwein-729,$9.80,/content/dam/lcbo/products/000729.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This top-selling wine phenomenon is back in a new and improved style. Nose is enticingly aromatic and floral with fruity notes of pear, orange, peach and herbs. The palate has a delicate sweetness,  with luscious but balanced flavours of pear, citrus and peach. Refreshing, mineral-like acidity on the long lively finish.",750 mL bottle,9.5%,Germany,H. Sichel Sohne G.M.B.H.,29 g/L,M - Medium,Off-dry & Fruity,Blend,,,
Fontana Di Papa White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fontana-di-papa-white-1511,$15.10,/content/dam/lcbo/products/001511.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The grapes for this light and refreshing wine are grown on volcanic soils in the hills southeast of the city of Rome. A delicate and lightly fruity wine that excels as a partner for chicken, fish and light cuisine. Enjoy fresh bread, mushrooms, spice, floral and citrus flavours, with a soft minerally note on the finish.",1500 mL bottle,11%,"Lazio, Italy",Fontana Di Papa S.R.L.,7 g/L,D - Dry,Light & Crisp,Blend,,,
Flat Rock Twisted White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/flat-rock-twisted-white-1578,$17.95,/content/dam/lcbo/products/001578.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Traditional grapes with a twist. This is an off-beat blend of Riesling, Gewurztraminer and Chardonnay. Vivid pear, grapefruit, passion fruit, lime and stony mineral. Makes a great sipping wine or pair it with spicy calamari or roasted pork tenderloin.",750 mL bottle,12%,"Ontario, Canada",Flat Rock Cellars,18 g/L,D - Dry,Aromatic & Flavourful,White Blend,"April 1, 2021",,
Angels Gate Chardonnay VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/angels-gate-chardonnay-vqa-1818,$14.95,/content/dam/lcbo/products/001818.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Meticulous vineyard practices ensure optimum fruit quality, and wines that are elegant in style. Enjoy upfront flavours of yellow plum, lemon, vanilla and hazelnuts. Medium in body, and made in a refreshing style, with lively acidity and a balanced finish. Serve with poultry, fish or pasta with a creamy sauce.",750 mL bottle,13%,"Ontario, Canada",Angels Gate Winery,3 g/L,XD - Extra Dry,Aromatic & Flavourful,Chardonnay,,,
Mouton Cadet Bordeaux White AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/mouton-cadet-bordeaux-white-aoc-2527,$16.35,/content/dam/lcbo/products/002527.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From France's leading wine family, a wine that has been the world's introduction to the Bordeaux region since 1930. A blend of sauvignon blanc, sémillon and muscadelle showing flavours of quince, vanilla, nuts and green pear with light cantaloupe note. Serve with seafood pasta, shellfish or salads.",750 mL bottle,13.5%,"Bordeaux, France",Baron Philippe De Rothschild S.A.,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc/Sémillon,,,
Aveleda Vinho Verde,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/aveleda-vinho-verde-5322,$11.80,/content/dam/lcbo/products/005322.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aveleda has been a family-owned business since the 1870s and vinho verde is their key focus. This one is pale lemon coloured with fresh lifted aromas of fresh bread, citrus, herbs and green plum and apple. Harmonious on the palate with balanced acidity and bright flavours that culminate in a zesty, slightly spritzy finish.",750 mL bottle,9.5%,"Vinho Verde, Portugal",Sociedade Agricola E. Comercial,14 g/L,D - Dry,Light & Crisp,Vinho Verde,,,
"Deinhard Green Label Riesling, Mosel",https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deinhard-green-label-riesling-mosel-8094,$11.80,/content/dam/lcbo/products/008094.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The vineyards of Germany's Mosel Valley are the source of some of the world's finest rieslings. Pouring a bright pale straw colour, Green Label has aromas of apple, melon and citrus. On the palate, it is soft with medium sweetness, balanced acidity and a minerally finish.",750 mL bottle,10%,Germany,Deinhard & Co,27 g/L,M - Medium,Off-dry & Fruity,Riesling,,,
Navip Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/navip-riesling-9548,$9.95,/content/dam/lcbo/products/009548.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Serbia's Fruska Gora wine region lies along the River Danube, and is home to some of Serbia's finest wines. This riesling is medium-bodied and floral, medium sweet and notes of caramel, grapefruit, herbs and cantaloupe. Serve with veal schnitzel, or cheese-filled pastries.",750 mL bottle,12.5%,Serbia,Navip,18 g/L,M - Medium,Aromatic & Flavourful,Riesling,,,
Moselland Bernkasteler Kurfurstlay Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/moselland-bernkasteler-kurfurstlay-riesling-15875,$11.80,/content/dam/lcbo/products/015875.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Germany's Moselland cooperative is known for excellent value in fresh and lively wines. Enjoy lifted aromas and flavours of fresh herbs, slate, honey and citrus with balanced sweetness. Serve well-chilled with seafood, Asian-inspired noodle dishes or your favourite curry.",750 mL bottle,10.5%,"Mosel, Germany",Moselland Eg,30 g/L,M - Medium,Off-dry & Fruity,Riesling,,,
Peller Family Vineyards Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/peller-family-vineyards-chardonnay-16352,$11.95,/content/dam/lcbo/products/016352.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Chardonnay is the world's most popular white wine, known for its flavours of ripe pear, hazelnuts and vanilla. Smooth and light to medium-bodied, this wine has a hint of spicy oak, and a mellow, balanced finish. Serve with roast chicken, grilled vegetables or salads.",1000 mL tetra,12%,Canada,Andrew Peller Limited,7 g/L,D - Dry,Light & Crisp,Chardonnay,,,
Peller Family Vineyards Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/peller-family-vineyards-pinot-grigio-16394,$11.95,/content/dam/lcbo/products/016394.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Easy drinking, refreshing white wine, sourced from vineyards in Canada and around the world. Shows aromas of cantaloupe, yellow berries and pear with a hint of chocolate. Extra dry, medium-bodied with refreshing melon, berries and pear flavours. Perfect for casual sipping or pair with light fare, salads and appetizers.",1000 mL tetra,12%,Canada,Andrew Peller Limited,7 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Citra Pinot Grigio Terre Di Chieti IGP,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/citra-pinot-grigio-terre-di-chieti-igp-17483,$9.50,/content/dam/lcbo/products/017483.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The sunny vineyards of Terre di Chieti lie between the mountains and the sea in Italy's Abruzzo region. This zesty hand-harvested pinot grigio has aromas and flavours of citrus and stone fruit, with a touch of almond on the finish. Serve with seafood, chicken, salads and light cuisine.",750 mL bottle,12.5%,"Abruzzo, Italy",Consorzio Cooperative Riunite,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
The Vinecrafter Chenin Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/the-vinecrafter-chenin-blanc-18689,$10.90,/content/dam/lcbo/products/018689.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Chenin blanc is South Africa's most planted grape variety, and this example is brimming with upfront aromas and flavours of button mushrooms, yellow pear, quince and spice. Serve this fresh white well-chilled, and pair with smoked trout appetizers, seafood pasta or a cheese platter.",750 mL bottle,12.5%,South Africa,Kwv Sa (Pty) Ltd.,6 g/L,D - Dry,Light & Crisp,Chenin Blanc,,,
Yellow Tail Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/yellow-tail-chardonnay-20321,$19.45,/content/dam/lcbo/products/020321.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From Australia's largest family-owned wine company, a wine that's easy to drink and to understand. Aromas of shortbread, yellow pear, floral note, nuts and ginger. On the palate, it is extra dry and medium-bodied, with notes of pastry, pear and nuts leading to a clean finish. Serve with roast chicken or creamy pasta.",1500 mL bottle,13%,Australia,Casella Wines,10 g/L,D - Dry,Light & Crisp,Chardonnay,,,
Jackson-Triggs Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/jackson-triggs-pinot-grigio-22327,$18.95,/content/dam/lcbo/products/022327.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From an award-winning winery comes this light and lively pinot grigio, offered in a range of sizes for all occasions. Pouring a pale lemon colour, look for aromas and flavours of lifted, fresh cantaloupe, ginger and spice. Moderate acidity makes this fresh, it is extra-dry on that palate with a clean finish.",1500 mL bottle,12.1%,"Ontario, Canada",Jackson-Triggs Winery,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Thirty Bench Winemaker's Blend Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/thirty-bench-winemakers-blend-riesling-24133,$19.95$22.95Save $3.00,/content/dam/lcbo/products/024133.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From the Beamsville Bench, one of Niagara's best spots for growing Riesling. A classic, featuring ripe peach, pear and lemon flavours, refreshing acidity and a hint of spice. Makes any meal special, from simple ham-and-brie sandwiches to foie gras.",750 mL bottle,11.1%,"Ontario, Canada",Andrew Peller Limited,20 g/L,M - Medium,Aromatic & Flavourful,Riesling,"April 1, 2021",,
Danzante Pinot Grigio Delle Venezie IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/danzante-pinot-grigio-delle-venezie-igt-26906,$14.80,/content/dam/lcbo/products/026906.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made for consuming while young and fresh. The pale lemon colour leads to aromas of fresh white bread, mushrooms, nuts, honey and green melon. Fresh on the palate with balanced acidity and resonating light fruit character that lasts to the clean finish.",750 mL bottle,12.5%,"Veneto, Italy",Luce,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Flat Roof Manor Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/flat-roof-manor-pinot-grigio-27128,$11.95,/content/dam/lcbo/products/027128.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Grown on rocky hillside soils in the Stellenbosch region of South Africa. Attractive floral, quince, yellow melon, pear and citrus aromas, followed after a first sip by crisp fresh quince, melon and citrus flavours. The finish is lively and clean. Serve with grilled fish, seafood or salads.",750 mL bottle,13%,South Africa,Distillers Corporation Limited,11 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Goose Bay Sauvignon Blanc KPM,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/goose-bay-sauvignon-blanc-kpm-28134,$25.95,/content/dam/lcbo/products/028134.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Available at select VINTAGES locations.Gooseberry, passion fruit, grass, lime and grapefruit. Try with trout.",750 mL bottle,13%,"Marlborough, New Zealand",Royal Wines,6 g/L,XD - Extra Dry,Aromatic & Flavourful,Sauvignon Blanc,"April 3, 2021",,
Ruffino Orvieto Classico,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/ruffino-orvieto-classico-31062,$13.10,/content/dam/lcbo/products/031062.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; aromas of yellow berries, fresh pastry, citrus with spice and golden raisin notes; dry, light to medium bodied, smooth, clean and fresh palate, shows flavours of yellow berries and fruit, lees and citrus with hints of light spice on the finish.",750 mL bottle,12%,"Umbria, Italy",Ruffino S.R.L.,12 g/L,D - Dry,Light & Crisp,Blend,,,
Liebfraumilch Drathen Qualitatswein Rheinhessen,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/liebfraumilch-drathen-qualitatswein-rheinhessen-32631,$10.90,/content/dam/lcbo/products/032631.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Liebfraumilch is a semi-dry light white wine from the Rhine region of Germany. Produced mostly for export, the Liebfraumilch name derives from The Church of Our Lady Monastery in Worms, Germany. Aromas and flavours of pear, cantaloupe and a touch of minerality and spice lead to a crisp finish. Pair with curry dishes.",1000 mL bottle,9.5%,"Rheinhessen, Germany",Ewald Theod. Drathen Kg,39 g/L,MS - Medium Sweet,Off-dry & Fruity,Blend,,,
Kim Crawford Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/kim-crawford-sauvignon-blanc-35386,$19.95,/content/dam/lcbo/products/035386.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This sets the benchmark for New Zealand's intensely flavourful style of Sauvignon Blanc: think gooseberry, pea pods and passion fruit. Vivid and refreshing, it pairs well with steamed clams or mussels with asparagus risotto, or grilled chicken.",750 mL bottle,13.5%,"Marlborough, New Zealand",Constellation Brands Inc. (New Zeal,5 g/L,XD - Extra Dry,Aromatic & Flavourful,Sauvignon Blanc,"April 1, 2021",,
Marques De Riscal Rueda DO,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/marques-de-riscal-rueda-do-36822,$14.55,/content/dam/lcbo/products/036822.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"For 160 years, this Spanish award-winning winery has pledged a commitment to quality. A customer favourite, this wine is made with the native verdejo grape. Look for aromas and flavours of yellow flowers, citrus, fennel, with mineral and pear notes. Medium-bodied and fresh, with a clean finish, serve with seafood paella.",750 mL bottle,13%,"Rueda, Spain",Vinos De Los Herederos Del,2 g/L,XD - Extra Dry,Light & Crisp,Blend,,,
Folonari Soave DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/folonari-soave-doc-37028,$18.60,/content/dam/lcbo/products/037028.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Founded in 1825 by Francesco Folonari, the winery has been crafting quality wines that express their place of origin. This blend of garganega and trebbiano is balanced and food-friendly. Pale straw color with spice, fresh bread and mineral notes, with tobacco and fig hints. Medium-bodied and fresh; pair with grilled shrimp.",1500 mL bottle,12%,"Veneto, Italy",Folonari S.P.A.,4 g/L,XD - Extra Dry,Light & Crisp,Soave,,,
Vineland Estates Elevation St. Urban Vineyard Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/vineland-estates-elevation-st-urban-vineyard-riesling-38117,$19.95,/content/dam/lcbo/products/038117.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The vines for this Riesling, which are now nearly 40 years of age, were brought to Ontario from Weingut St. Urbans-Hof in the Mosel by Hermann Weis. They have flourished in the ancient, sea-born soils of the Niagara Escarpment. This wine is floral and juicy, with lime, peach, apple and a refined mineral note.",750 mL bottle,8.4%,"Ontario, Canada",Vineland Estate Wines Limited,37 g/L,M - Medium,Aromatic & Flavourful,Riesling,"April 1, 2021",,
Woodbridge By Robert Mondavi Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/woodbridge-by-robert-mondavi-sauvignon-blanc-40501,$13.95,/content/dam/lcbo/products/040501.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Founder Robert Mondavi was a catalyst for the American wine industry. This fruit-forward wine is a light lemon in colour, with upfront aromas and flavours of kiwi, gooseberry, citrus and herbs. Medium-bodied with a refreshingly clean finish; perfectly suited to accompany California spring salad topped with grilled chicken.",750 mL bottle,12.5%,USA,Robert Mondavi Winery,7 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
Flat Rock Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/flat-rock-riesling-43281,$17.95,/content/dam/lcbo/products/043281.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From an industry leader, this floral Riesling comes at you with gorgeous mineral, peach, apple, and lime citrus with superb vibrancy and zest. Intense and complex and an amazing value, this is an Ontario gem.Try with spiced sushi or a spiced honey-glazed ham.",750 mL bottle,11%,"Ontario, Canada",Flat Rock Cellars,20 g/L,M - Medium,Aromatic & Flavourful,Riesling,"April 1, 2021",,
Beringer Founders' Estate Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/beringer-founders-estate-pinot-grigio-45641,$16.95,/content/dam/lcbo/products/045641.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From one of California's oldest wineries, this is made with fruit from California Delta, where vines enjoy warm, sunny days and cool nights. Extra dry, light to medium-bodied and fresh, with upfront flavours of fresh bread, pear and melon with balanced and crisp finish; serve well-chilled with salads, pasta or grilled fish.",750 mL bottle,12%,USA,Beringer Vineyards,4 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Fontana Di Papa White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/fontana-di-papa-white-48140,$19.45,/content/dam/lcbo/products/048140.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The grapes for this light and refreshing wine are grown on volcanic soils in the hills southeast of the city of Rome. A delicate and lightly fruity wine that excels as a partner for chicken, fish and light cuisine. Enjoy fresh bread, mushrooms, spice, floral and citrus flavours, with a soft minerally note on the finish.",2000 mL bottle,11%,"Lazio, Italy",Fontana Di Papa S.R.L.,7 g/L,D - Dry,Light & Crisp,Blend,,,
Bouchard Père & Fils Petit Chablis,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/bouchard-p%C3%A8re-fils-petit-chablis-51466,$27.35,/content/dam/lcbo/products/051466.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"With grapes sourced from specific sites within the Chablis zone, this white shows lifted aromas and flavours of pine nuts, nutmeg, chalky minerality and fresh bread. The palate is light to medium-bodied, extra dry with vibrant acidity leading to a clean and refreshing finish. Serve with grilled calamari beside baby greens.",750 mL bottle,12.5%,"Burgundy, France",Bouchard Pere & Fils,3 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,,,
Bouchard Père & Fils Macon-Lugny Saint-Pierre,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/bouchard-p%C3%A8re-fils-macon-lugny-saint-pierre-51573,$19.95$22.95Save $3.00,/content/dam/lcbo/products/051573.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Macon region is the most southerly region of Burgundy, and the warmer climate is reflected in wines that show richness and intensity of flavour. LIfted aromas and flavours of nutmeg, roasted nuts, toast and canned pineapple. Serve with fish and seafood dishes, roasted chicken or a selection of fine cheeses.",750 mL bottle,13%,"Burgundy, France",Bouchard Pere & Fils,4 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,,,
Peninsula Ridge Sauvignon Blanc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/peninsula-ridge-sauvignon-blanc-vqa-53678,$15.95,/content/dam/lcbo/products/053678.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Peninsula Ridge Winery is known for its quintessentially Canadian, cool-climate wines. Enjoy floral, kiwi and grapefruit flavours, with hints of yeast and herbs. This wine is aged in stainless steel to preserve the purity of the fruit's expression. Serve with seafood, salads or creamy-textured cheeses.",750 mL bottle,13.3%,"Ontario, Canada",Peninsula Ridge Estates Winery,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
Jaffelin Bourgogne Aligote AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/jaffelin-bourgogne-aligote-aoc-53868,$15.55$18.05Save $2.50,/content/dam/lcbo/products/053868.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; lifted aromas of nuts, cantaloupe, vanilla and anjou pear; extra dry, medium bodied, with clean melon/pear flavours and balanced acidity on finish.",750 mL bottle,12%,"Burgundy, France",Maison Jaffelin,3 g/L,XD - Extra Dry,Light & Crisp,Burgundy,,,
Barefoot Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/barefoot-pinot-grigio-53983,$10.95,/content/dam/lcbo/products/053983.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Extremely versatile, food-friendly and enjoyable. Pale lemon colour with floral notes and aromas of pineapple, fresh bread, white melon and peach. On the palate, this is dry, fresh and medium-bodied with flavours of pineapple, melon and peach. The finish is long with refreshing fruity tones.",750 mL bottle,12%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Latour Chardonnay Bourgogne,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/latour-chardonnay-bourgogne-55533,$22.80,/content/dam/lcbo/products/055533.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; aromas of toast, vanilla, oatmeal and nuts with yellow plum and pear. Balanced acidity and medium-body with nuts and pear on the palate followed by a clean finish.",750 mL bottle,13%,"Burgundy, France",Maison Louis Latour,2 g/L,XD - Extra Dry,Full-bodied & Rich,Burgundy,,,
Bouchard Père & Fils Pouilly-Fuisse,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/bouchard-p%C3%A8re-fils-pouilly-fuisse-56580,$35.80,/content/dam/lcbo/products/056580.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; lifted, savory spiced oatmeal, flinty/mineral, nutty, and underbrush nose with yeasty notes; extra dry, medium to full bodied, with savory fruit, flint and nutty flavours with a long, fresh finish.",750 mL bottle,12.5%,"Burgundy, France",Bouchard Pere & Fils,2 g/L,XD - Extra Dry,Full-bodied & Rich,Burgundy,,,
Jackson-Triggs Reserve Sauvignon Blanc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/jackson-triggs-reserve-sauvignon-blanc-vqa-58438,$13.95,/content/dam/lcbo/products/058438.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; floral, grapefruit, pear, white melon and cassis on the nose; medium-bodied, extra dry, balanced acidity, and a long lemony finish.",750 mL bottle,12.3%,"Ontario, Canada","Arterra Wines Canada, Inc.",7 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
XOXO Pinot Grigio Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/xoxo-pinot-grigio-chardonnay-58677,$10.95,/content/dam/lcbo/products/058677.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"XOXO wines are smooth, easy to enjoy and ideal for any occasion. Pinot Grigio and Chardonnay grapes make a perfect match, with delightful flavours of fragrant fresh pear, nuts, cantaloupe and vanilla. This fresh, stylish white is great on its own, or pairs wonderfully with seafood, salads and sushi.",750 mL bottle,12%,Canada,Andrew Peller Limited,12 g/L,D - Dry,Light & Crisp,Blend,,,
"Deinhard Riesling Dry, Rheinhessen",https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deinhard-riesling-dry-rheinhessen-60004,$12.80,/content/dam/lcbo/products/060004.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; floral, nutty, citrus and yellow berries on the nose; clean, wax and citrus flavours with berry and spicy notes in the finish.",750 mL bottle,12%,"Rheinhessen, Germany",Deinhard & Co,10 g/L,D - Dry,Light & Crisp,Riesling,,,
20 Bees Pinot Grigio VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/20-bees-pinot-grigio-vqa-60707,$10.95$12.95Save $2.00,/content/dam/lcbo/products/060707.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bees are hardworking, unselfish and in tune with their environment - all qualities that also describe Ontario winegrowers! Pale yellow colour, with aromas of grapefruit zest, wild flowers, yellow plum and melon. Medium-bodied and extra dry with a fresh finish. Serve with grilled chicken salad, smoked salmon or as a starter.",750 mL bottle,11.7%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Peller Family Vineyards Dry White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/peller-family-vineyards-dry-white-63313,$11.65,/content/dam/lcbo/products/063313.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Pale yellow straw; Cooked pear and yellow apple aroma; slightly off-dry with soft round fruit flavours and light tropical fruit notes; easy drinking wine.,1000 mL tetra,11.8%,Canada,Andrew Peller Limited,15 g/L,D - Dry,Light & Crisp,Blend,,,
Wayne Gretzky Chardonnay VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wayne-gretzky-chardonnay-vqa-63826,$14.95,/content/dam/lcbo/products/063826.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Medium yellow; red apple, citris & spice box aromas & flavours; dry, with crisp lemony acidity.Clear, medium lemon yellow. Aromas of green apple, citrus and mineral are combined with a rich mouthfeel showing crisp green apple flavours, finishing with a lingering citrus note.",750 mL bottle,12.7%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,5 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,,,
Eastdell Pinot Grigio VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/eastdell-pinot-grigio-vqa-65367,$13.95,/content/dam/lcbo/products/065367.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A locally crafted pinot grigio, Pale straw yellow colour, it exhibits lovely aromas of nuts, pear, fresh fig and melon with similar flavours coming through on the palate. Medium-bodied and extra dry with a soft but refreshing acidity. This is well-suited for Cajun cuisine, pork tenderloin or create a delightful sangria.",750 mL bottle,10.3%,Canada,Diamond Estates Wines & Spirits Ltd,10 g/L,D - Dry,Off-dry & Fruity,Pinot Grigio,,,
Inniskillin Unoaked Chardonnay VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/inniskillin-unoaked-chardonnay-vqa-66266,$14.45,/content/dam/lcbo/products/066266.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw; soft ripe pear & spice on the nose; dry, light-bodied with crisp citrus, pear & spice flavours.Pale medium lemon; lifted aromas of yellow pear, white melon, vanilla and nuts; on the palate it is extra dry and medium bodied with flavours that repeat the aromas and a hint of spice on the finish.",750 mL bottle,12%,"Ontario, Canada","Arterra Wines Canada, Inc.",5 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,,,
Yellow Tail Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/yellow-tail-pinot-grigio-68254,$11.70,/content/dam/lcbo/products/068254.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; aromas of nuts, floral note, spice, mushrooms and herbs; dry, medium bodied, with mellow acidity, and delicate flavours of herbs and nuts.",750 mL bottle,11.5%,Australia,Casella Wines,12 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
