title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Caliterra Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/caliterra-sauvignon-blanc-275909,$9.95,/content/dam/lcbo/products/275909.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear pale straw colour; minerally, citrus/lime, bell pepper, berry and mint aromas; extra dry, medium body with round flavour of citrus, bell pepper and berries, moderate finish.",750 mL bottle,13%,Chile,Caliterra Winery,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
Pelee Island Blanc de Blanc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/pelee-island-blanc-de-blanc-vqa-276170,$11.95,/content/dam/lcbo/products/276170.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Straw yellow colour; fruity and floral aromas with lemon and nuts; matching medium fruit flavours, long finish, well balanced, enjoyable wine.",750 mL bottle,12.5%,"Ontario, Canada",Pelee Island Vineyard Inc.,11 g/L,D - Dry,Light & Crisp,Blend,,,
Jackson-Triggs Vidal,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/jackson-triggs-vidal-276394,$17.95,/content/dam/lcbo/products/276394.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromas of delicate pear, honey, honeydew melon and citric, grapefruity note. Tasty with a green salad or grilled vegetables.",1500 mL bottle,12.5%,Canada,Jackson-Triggs Winery,13 g/L,D - Dry,Light & Crisp,Vidal,,,
G. Marquis The Red Line Pinot Grigio VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/g-marquis-the-red-line-pinot-grigio-vqa-276501,$13.95,/content/dam/lcbo/products/276501.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Straw yellow colour; floral, citrus, smoky and nutty aromas; extra dry, medium-plus body; round citrus, smoke, nuts and fresh fig flavours with fresh finish.",750 mL bottle,13.5%,"Ontario, Canada",Magnotta Winery,6 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Batasiolo Bosc D'la Rei Moscato D'Asti DOCG,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/batasiolo-bosc-dla-rei-moscato-dasti-docg-277194,$16.80,/content/dam/lcbo/products/277194.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale yellow gold colour; lovely lifted fruity and savory aromas - fresh mushrooms, nutmeg with pear and honeydew melon; medium sweet, slight frizzante; balanced flavours of pear and melon, with medium length finish.",750 mL bottle,5.5%,"Piedmont, Italy",Batasiolo S.P.A.,119 g/L,S - Sweet,Off-dry & Fruity,Moscato,,,
Yealands Sauvignon Blanc Marlborough,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/yealands-sauvignon-blanc-marlborough-277731,$16.65,/content/dam/lcbo/products/277731.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Yealands is gaining notoriety for consistently producing quality wines at affordable prices. In the glass this straw coloured wine offers cassis, floral, gooseberry and herbal aromas; the palate is extra dry, medium-plus bodied; bright cassis and gooseberry flavours and a refreshingly clean finish.",750 mL bottle,12.5%,"Marlborough, New Zealand",Yealands Estate Wines Ltd.,4 g/L,XD - Extra Dry,Aromatic & Flavourful,Sauvignon Blanc,,,
Santa Carolina Reserva Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/santa-carolina-reserva-sauvignon-blanc-278127,$21.95,/content/dam/lcbo/products/278127.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright, pale lemon-green colour; upfront aromas of kiwi, gooseberry, grassy with more green fruit notes; extra dry, fresh acidity and medium-bodied; flavours of kiwi, gooseberry, white pepper and lime; medium finish.",1500 mL bottle,13.5%,"Leyda Valley, Chile",Vina Santa Carolina,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
Beringer Main & Vine Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/beringer-main-vine-pinot-grigio-278820,$20.90,/content/dam/lcbo/products/278820.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale lemon colour; aromas and flavours of pastry, fresh pear, with touch of minerality and floral, honeyed notes; extra dry, medium bodied with gentle acidity.",1500 mL bottle,13%,"California, USA",Beringer Vineyards,12 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
White House Wine Co. Vidal Moscato VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/white-house-wine-co-vidal-moscato-vqa-279547,$10.95,/content/dam/lcbo/products/279547.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale yellow with green hues; floral, mango, pear, citrus and honeydew melon aromas; off-dry; sweet fruit flavours with citrus and spice note to finish.",750 mL bottle,9.5%,"Ontario, Canada",House Wine Co.,26 g/L,M - Medium,Aromatic & Flavourful,Blend,,,
The Pavillion Chenin Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/the-pavillion-chenin-blanc-281311,$12.00,/content/dam/lcbo/products/281311.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear pale lemon colour; lifted aromas of mushrooms, citrus and spice with mineral notes; extra dry, medium bodied with medium balanced acidity and flavours of mushrooms, citrus, spice and a note minerality.",750 mL bottle,13%,South Africa,Dgb (Pty ) Ltd.,4 g/L,XD - Extra Dry,Light & Crisp,Chenin Blanc,,,
Clean Slate Riesling Mosel,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/clean-slate-riesling-mosel-286237,$12.70,/content/dam/lcbo/products/286237.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The steeply-sloped banks of Germany's Mosel River are home to the world's most celebrated riesling wines. Enjoy floral, herbal, mineral, lime and melon aromas and flavours. Medium-plus bodied, dry, with bright medium acidity that balances the wine's fruit intensity. A delicious pairing with spicy Mexican or Thai dishes.",750 mL bottle,10.5%,"Mosel, Germany",Moselland Eg,21 g/L,M - Medium,Light & Crisp,Riesling,,,
Flat Rock Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/flat-rock-chardonnay-286278,$19.95,/content/dam/lcbo/products/286278.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ontario has seen its international reputation for quality Cool Climate Chardonnay soar and if you are still looking for somewhere to build your own opinion, you'll be hard pressed to find a sounder foundation than this Flat Rock. Buttery, bright, vibrant and fruit driven with apple, pear, mineral and a  well-integrated toast, it is rock solid.Crab legs, or grilled chicken.",750 mL bottle,12.8%,"Ontario, Canada",Flat Rock Cellars,3 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,"April 1, 2021",,
Cave Spring Estate Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/cave-spring-estate-riesling-286377,$19.95,/content/dam/lcbo/products/286377.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Cave Spring's fine Rieslings have won much international acclaim. This one, from vines that are 20+ years old, features notes of peach and grapefruit alongside floral and stony mineral flavours. Shines with turkey burgers, cassoulet or baked ham.",750 mL bottle,12%,"Ontario, Canada",Cave Spring Cellars Ltd,7 g/L,D - Dry,Aromatic & Flavourful,Riesling,"April 17, 2021",,
