title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Casillero del Diablo Reserva Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/casillero-del-diablo-reserva-cabernet-sauvignon-61663,$24.95,/content/dam/lcbo/products/061663.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Concha y Toro sources the grapes for this 100% cabernet sauvignon wine from Chile's Central Valley. Delivering aromas of cassis, floral notes, coffee and toast and similar flavours of cassis with a hint of dark chocolate, this red is a delicious crowd-pleaser. The finish has firm tannins. Pair with beef tenderloin or lamb.",1500 mL bottle,13.5%,Chile,Concha Toro S.A.,5 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,,,
Peller Family Vineyards Red,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/peller-family-vineyards-red-63305,$11.55,/content/dam/lcbo/products/063305.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Medium ruby colour; gentle berry, toast and cedar aromas followed by vanilla and plum notes; medium-bodied with berry/cherry flavours.",1000 mL tetra,11.5%,Canada,Andrew Peller Limited,11 g/L,D - Dry,Medium-bodied & Fruity,Blend,,,
Emiliana Coyam,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/emiliana-coyam-63891,$29.95,/content/dam/lcbo/products/063891.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Named for the oak forests in Colchagua, this wine is mostly Syrah and Carmenère but can include up to seven other varietals such as Cabernet, Mourvèdre and Petit Verdot. It's elegant and refined, with red fruit, oak, pepper and vanilla. Pair with lamb chops and mushrooms.",750 mL bottle,14.5%,"Colchagua Valley, Chile",Vinedos Emiliana S.A.,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Syrah Blend,"April 1, 2021",,
Wayne Gretzky Merlot VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/wayne-gretzky-merlot-vqa-63966,$15.95,/content/dam/lcbo/products/063966.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Medium ruby; aromas & flavours of red cherry with hints of vanilla; dry, medium-bodied, well structured.Medium ruby in colour with aromas of red plum, nutmeg, cassis plus hints of smoke and cedar. It is medium-bodied with balanced acidity and supportive medium tannins, with flavours of red plum ending with fresh finish.",750 mL bottle,12.8%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,,,
Featherstone Cabernet Franc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/featherstone-cabernet-franc-64618,$19.95,/content/dam/lcbo/products/064618.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This Cab Franc consistently over-delivers at this price point. It features excellent depth and complexity of rich dark fruit and vanilla notes accented by bright floral tones. Balanced and structured, it can be enjoyed tonight with your favourite grilled meats.",750 mL bottle,12.3%,"Ontario, Canada",Featherstone Estate Winery,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Franc,"May 15, 2021",,
Strewn Rogue's Lot Cabernet Sauvignon Cabernet Franc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/strewn-rogues-lot-cabernet-sauvignon-cabernet-franc-vqa-65342,$14.95,/content/dam/lcbo/products/065342.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromas of cherry & plum with floral & oak notes; dry, medium-bodied, with a smooth, round texture & soft tannins.Made from grapes grown in the Niagara Peninsula, this cabernet blend offers a complex array of spice, herbs, red fruit and berry aromas. On the palate, it is fresh with juicy, spicy red fruit flavours, medium tannins and a lingering underbrush note that comes through on the finish.",750 mL bottle,12.8%,"Ontario, Canada",Strewn Inc.,8 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,,,
Creekside Syrah VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/creekside-syrah-vqa-66654,$15.95,/content/dam/lcbo/products/066654.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Black raspberry, white pepper & oak on the nose; dry, with flavours of red cherry, damson plum & spice.Medium ruby colour; floral, black pepper and juniper aromas with smoky, black plum notes; ripe and juicy fruit flavours with a peppery, medium-long finish.",750 mL bottle,12.5%,"Ontario, Canada",Creekside Estate Winery,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,,,
Gnarly Head Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/gnarly-head-cabernet-sauvignon-68924,$14.95,/content/dam/lcbo/products/068924.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"California's Lodi region has warm days and cool evenings-perfect for wines that are full-flavoured and balanced. Gnarly Head Cabernet Sauvignon has medium body and is well-structured, with ripe tannins and soft balanced acidity. Flavours of dark fruit, floral note, toasted oak, jam and hazelnut spread.",750 mL bottle,13.5%,"California, USA",Delicato Vineyards,8 g/L,D - Dry,Full-bodied & Firm,Cabernet Sauvignon,,,
Latour Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/latour-pinot-noir-69914,$24.85,/content/dam/lcbo/products/069914.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby colour. Nuts, caramel, mushrooms and berry fruit with an underlying mineral note; extra dry, medium-bodied with caramel and berry fruit, and earth flavours.",750 mL bottle,13%,"Burgundy, France",Maison Louis Latour,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,,,
Peninsula Ridge Shiraz VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/peninsula-ridge-shiraz-vqa-70052,$15.95,/content/dam/lcbo/products/070052.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromas of ripe berries & spice, with notes of fresh leather; dry, with a mix of dark fruit, white pepper & floral notes.Clear ruby with violet at the rim; floral and berry marmalade aromas with spice and prune notes; medium body with berry preserve flavour and soft oak spice to finish.",750 mL bottle,12.5%,"Ontario, Canada",Peninsula Ridge Estates Winery,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Shiraz/Syrah,,,
Carlo Rossi California Red,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/carlo-rossi-california-red-70813,$15.40,/content/dam/lcbo/products/070813.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale ruby colour; mildly fruity nose displaying candied plum, floral and watermelon notes; light to medium body with crisp berry flavours",1500 mL bottle,12%,USA,E. & J. Gallo Winery,16 g/L,D - Dry,Light-bodied & Fruity,Blend,,,
Man Family Skaapveld Shiraz 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/man-family-skaapveld-shiraz-2019-71332,$14.95,/content/dam/lcbo/products/071332.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This silky-smooth Shiraz shows rich dark fruit, dark chocolate, earth, and a touch of black pepper spice. It has the structure and balance to drink to 2025 or beyond, making it a great value option as a cellar starter. Try it tonight with beef fajitas or burgers.",750 mL bottle,14%,"Coastal Region, South Africa",Man Vintners,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz Blend,"May 1, 2021",,
"Castillo de Monseran Garnacha, Carinena DO",https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/castillo-de-monseran-garnacha-carinena-do-73395,$10.80,/content/dam/lcbo/products/073395.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby colour; lifted aromas of ripe dark berries and fresh rye bread, blood orange and a touch of spice; medium bodied, medium tannins and juicy plum, citrus and spice flavours.",750 mL bottle,14.5%,"Cariñena, Spain",Bodegas San Valero,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Garnacha,,,
Cavallina Nero D'Avola Shz Terre Sicilane IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/cavallina-nero-davola-shz-terre-sicilane-igt-74096,$10.00,/content/dam/lcbo/products/074096.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby red colour with purple highlights; upfront aromas of black plum, nuts, licorice and honey; medium-minus bodied displaying flavours of ripe dark fruits and a soft spicy finish.",750 mL bottle,13.5%,"Sicily, Italy",Carlo Pellegrino,13 g/L,D - Dry,Medium-bodied & Fruity,Nero d'Avola/Syrah,,,
Santa Cristina Rosso Toscana IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/santa-cristina-rosso-toscana-igt-76521,$14.75,/content/dam/lcbo/products/076521.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red colour; chestnut, leather, spice, plum and floral aromas; light to medium body; savory, dark fruit flavours, balanced lifted acidity, medium tannins with good length to finish.",750 mL bottle,13%,"Tuscany, Italy",Marchesi Antinori S.P.A.,6 g/L,D - Dry,Medium-bodied & Fruity,Blend,,,
Citra Montepulciano D'Abruzzo DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/citra-montepulciano-dabruzzo-doc-78840,$15.10,/content/dam/lcbo/products/078840.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Medium ruby purple colour; smoke, rye bread, floral note and fig on nose and palate with hints of nuts, plum and spice; balanced acidity, medium-bodied with firm, dry finish.",1500 mL bottle,13%,"Abruzzo, Italy",Consorzio Cooperative Riunite,10 g/L,D - Dry,Medium-bodied & Fruity,Montepulciano,,,
Pelee Island Baco Noir VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/pelee-island-baco-noir-vqa-79400,$21.95,/content/dam/lcbo/products/079400.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep purple red colour; aromas and flavours of smoky oak, floral tone, dark fruit and spice with leafy/tomato notes; extra dry, medium bodied, ripe and rounded, with tangy acidity and smoky, spicy dark fruit notes on the lengthy finish.",1500 mL bottle,12%,"Ontario, Canada",Pelee Island Vineyard Inc.,7 g/L,D - Dry,Full-bodied & Firm,Baco Noir,,,
Susana Balbo Signature Malbec 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/susana-balbo-signature-malbec-2018-79798,$20.95,/content/dam/lcbo/products/079798.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Gustavo Bertagna has added 8% Cabernet Franc to this polished Paraje Altamira Malbec to give it 'more length and freshness' and the evidence is there in the glass. Dense, serious and built for the longer haul, it's inky, layered and profound, with blackberry and liquorice flavours, scented oak and impressive balance. Drink date: 2022-2028. Score - 93. (Tim Atkin, MW, timatkin.com, Argentina Special Report 2020)",750 mL bottle,14.5%,"Mendoza, Argentina",Dominio del Plata,3 g/L,XD - Extra Dry,Full-bodied & Firm,Malbec Blend,"May 1, 2021",,
Fuzion Shiraz Malbec,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/fuzion-shiraz-malbec-83188,$9.00,/content/dam/lcbo/products/083188.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale ruby purple colour; lifted aromas of toast and candied berries with a hint of coffee; extra dry, medium-bodied, flavours of candied berries with roasted coffee beans overtones.",750 mL bottle,12.5%,Argentina,Fuzion Wines,8 g/L,D - Dry,Full-bodied & Smooth,Blend,,,
Wildass Red 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/wildass-red-2018-86363,$21.95,/content/dam/lcbo/products/086363.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Wildass Red combines a who's who of different grapes each vintage, but whatever the blend, the wine is consistently fruit-forward, bright and savoury, with easygoing tannins. This one comes from the red-varietal-loving 2018 vintage. A great match for meaty stews. (March 31, 2021)",750 mL bottle,12.5%,"Ontario, Canada",Stratus Vineyards,9 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon Blend,"April 17, 2021",,
