title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Pelee Island Lighthouse Cabernet Franc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pelee-island-lighthouse-cabernet-franc-vqa-145441,$13.95,/content/dam/lcbo/products/145441.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby colour; dark fruit, blood orange, chocolate, berry and cedar aromas; extra dry, medium body; ripe fruit flavour with balanced acidity.",750 mL bottle,13%,"Ontario, Canada",Pelee Island Vineyard Inc.,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Franc,,,
Marchesi de' Frescobaldi Tenuta di Castiglioni,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/marchesi-de-frescobaldi-tenuta-di-castiglioni-145920,$21.95,/content/dam/lcbo/products/145920.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Frescobaldi has been crafting wines for over 700 years. This silky, modern-styled blend of Cab, Merlot and Sangiovese is filled with red fruit, sweet spice and vanilla notes. A perfect choice for lamb.",750 mL bottle,14%,"Tuscany, Italy",Marchesi De Frescobaldi,5 g/L,D - Dry,Full-bodied & Firm,Cabernet Sauvignon/Sangiovese,"April 1, 2021",,
Passion Of Portugal Red,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/passion-of-portugal-red-146449,$8.95,/content/dam/lcbo/products/146449.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby colour; floral, licorice and fig aromas with chocolate and smoky notes; dry, medium body; round black fruit flavours with a touch of spice and a soft finish.",750 mL bottle,13%,"Lisboa, Portugal",Passion Of Portugal,10 g/L,D - Dry,Medium-bodied & Fruity,Syrah Blend,,,
Vicente Faria Gloria Reserva 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/vicente-faria-gloria-reserva-2018-146522,$16.95,/content/dam/lcbo/products/146522.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This perfumed wine is ripe and structured, with hints of wood aging. Its tannins and mint flavors give the wine a sophisticated touch that goes well with the rich fruits and indicate its aging potential. Drink this wine from 2021.  Score - 89. (Roger Voss, Wine Enthusiast, July 1, 2019)",750 mL bottle,13.3%,"Douro, Portugal","Vicente Faria Vinhos, Sa",10 g/L,D - Dry,Medium-bodied & Fruity,Touriga Nacional Blend,"March 20, 2021",,
Villa Maria Private Bin Pinot Noir Marlborough,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/villa-maria-private-bin-pinot-noir-marlborough-146548,$19.70,/content/dam/lcbo/products/146548.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear ruby red colour; raspberry, beetroot and red fruit aroma with an herbal and earthy touches; extra dry, medium-plus body; soft berry  with a touch of spice in flavour, medium finish.",750 mL bottle,13.5%,"Marlborough, New Zealand",Villa Maria Estates Ltd.,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,,,
The Foreign Affair The Conspiracy,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/the-foreign-affair-the-conspiracy-149237,$19.95,/content/dam/lcbo/products/149237.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Following the ripasso method perfected in Italy's Veneto region, this unique wine uses dried grapes to add richness and depth to the notes of fresh and dried berries, spice and leather. An impressive wine that's perfect for grilled red meats.",750 mL bottle,12.8%,"Ontario, Canada",The Foreign Affair Winery,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon/Merlot/Cabernet Franc,"April 1, 2021",,
Donini Merlot,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/donini-merlot-150128,$15.10,/content/dam/lcbo/products/150128.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red colour; pastry dough, berry and plum fruit nose with hints of toast and licorice; dry, with light berry and plummy fruit flavours with soft acidity, medium body and a clean finish.",1500 mL bottle,12%,"Friuli, Italy",Lamberti S.P.A.,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,,,
Chateau Saint-Germain Bordeaux Superieur AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/chateau-saint-germain-bordeaux-superieur-aoc-152587,$16.80,/content/dam/lcbo/products/152587.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear medium ruby colour; cassis and candied notes with light cedary oak spice aromas; medium body,  extra dry wine, cassis fruit and oak spice flavours to finish.",750 mL bottle,14%,"Bordeaux, France",J. Calvet & Cie - Bordeaux,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Bordeaux,,,
Masi Campofiorin IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/masi-campofiorin-igt-155051,$21.80,/content/dam/lcbo/products/155051.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby red colour; lifted, savory aromas of figs and spices; the palate is dry, medium-bodied with dominating flavours of dried fruit - figs, cherries, with a nice backbone of spice; medium tannins are supple and the finish is medium.",750 mL bottle,13%,"Veneto, Italy",Masi Agricola S.P.A.,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Ripasso,,,
Cave de Roquebrun La Grange des Combes Saint-Chinian-Roquebrun 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/cave-de-roquebrun-la-grange-des-combes-saint-chinian-roquebrun-2018-155804,$20.95,/content/dam/lcbo/products/155804.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Crafted by Alain Rogier, who was International Wine Challenge's 2015 Winemaker of the Year, this perennially impressive Syrah-based blend brings big, bombastic berry fruit and spice. Always a good choice for coq au vin or herbed duck breast.[Concours des Vins Macon did not include a tasting note.] Score - Gold. (Concours des Vins Macon, 2019)",750 mL bottle,14.2%,"Languedoc, France",Cave Les Vins De Roquebrun,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Syrah Blend,"May 1, 2021",,
Montes Reserva Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/montes-reserva-cabernet-sauvignon-157883,$13.05,/content/dam/lcbo/products/157883.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Dark ruby red colour; aromas of chocolate, prune, smoke with nuts and jam notes; dry, medium to full bodied, well balanced acidity and ripe tannins, with rich chocolate, prune, smokey oak flavours, notes of nuts and jammy fruit on the long finish.",750 mL bottle,14.5%,Chile,Kaiken S.A.,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,,,
Donini Merlot,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/donini-merlot-160358,$10.55,/content/dam/lcbo/products/160358.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red colour; pastry dough, berry and plum fruit nose with hints of toast and licorice; dry, with light berry and plummy fruit flavours with soft acidity, medium body and a clean finish.",1000 mL bottle,12%,"Friuli, Italy",Lamberti S.P.A.,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,,,
Domaine Jean Bousquet Malbec Organic,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/domaine-jean-bousquet-malbec-organic-160952,$15.00,/content/dam/lcbo/products/160952.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby purple; floral, blackberry and chocolate aromas with a touch of honey and spice; medium body with rich fruit flavour and good length; light to medium tannins, good now but could age for 2 to 3 years.",750 mL bottle,14%,"Mendoza, Argentina",Domaine Jean Bousquet,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Malbec,,,
Trivento Malbec Reserve,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/trivento-malbec-reserve-160994,$11.95,/content/dam/lcbo/products/160994.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Big and bold with aromas of blackfruit plus a hint of pepper and spice. Well balanced with ripe blackfruit flavours and soft tannins on the finish.,750 mL bottle,13.5%,"Mendoza, Argentina",Trivento Bodegas Y Vinedos,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Malbec,"July 25, 2012",,
Louis Jadot Bourgogne Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/louis-jadot-bourgogne-pinot-noir-162073,$26.95,/content/dam/lcbo/products/162073.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Great value in red Burgundy here. Lovely aromas and flavours of red berry, cedar smoke and a touch of spiced plum in this expressive and elegant Pinot. Enjoy with grilled beets, mushroom burgers or roast beef sandwiches.",750 mL bottle,12.5%,"Burgundy, France",Maison Louis Jadot,3 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,"April 1, 2021",,
Misterio Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/misterio-cabernet-sauvignon-163949,$10.00,/content/dam/lcbo/products/163949.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby red colour with an intense nose of plum, coffee, rye bread, cedar and wild honey; extra dry, medium bodied; ripe fruit flavour with silky tannins in a long finish.",750 mL bottle,13%,Argentina,Finca Flichman,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,,,
Monte del Frà Lena di Mezzo Valpolicella Ripasso Classico Superiore 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/monte-del-fr%C3%A0-lena-di-mezzo-valpolicella-ripasso-classico-superiore-2018-165662,$25.95,/content/dam/lcbo/products/165662.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A ripasso in the leaner, fresher style, with lovely succulent acids, though wood flavour still plays a dominant role in the overall profile, suppressing cherry fruit. I like the old school, antique shop flavours, the burnished teak and black tea, and the lingering finish. A fine mix between wide appeal and insider's delight.  Score - 89. (John Szabo, MS, winealign.com, Dec. 5, 2018)",750 mL bottle,14%,"Veneto, Italy",Monte Del Fra,8 g/L,D - Dry,Medium-bodied & Fruity,Corvina/Rondinella,"May 1, 2021",,
Pelee Island Rouge,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pelee-island-rouge-166637,$15.95,/content/dam/lcbo/products/166637.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A wine crafted for casual get-togethers. Ruby red in colour with aromas and flavours of red plum, smoke, berry compote and touch of spice and citrus. Medium-bodied and dry with a silky finish. Enjoy with roast beef, roasted potatoes and a side salad or a selection of cheeses.",1500 mL bottle,12.3%,"Ontario, Canada",Pelee Island Vineyard Inc.,15 g/L,D - Dry,Medium-bodied & Fruity,Blend,,,
C'est La Vie! Pinot Noir Syrah,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/cest-la-vie%21-pinot-noir-syrah-166934,$12.80,/content/dam/lcbo/products/166934.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear ruby with purple tint; fragrant nose of baker's yeast,  red plum, spices and red berries; extra dry, medium body; ripe plum and berry flavours with a touch of spice; balanced acidity.",750 mL bottle,13%,"South of France, France",Maison Albert Bichot,6 g/L,D - Dry,Medium-bodied & Fruity,Pinot Noir/Syrah,,,
Dandelion Vineyards Lionheart of the Barossa Shiraz,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/dandelion-vineyards-lionheart-of-the-barossa-shiraz-167189,$21.95,/content/dam/lcbo/products/167189.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This is sourced from old vines, many over 100 years of age, planted in some of the oldest soils on earth. Full-bodied, concentrated and rich with sophisticated, refined blackberry, earth, spice and meat tones. A big, bold wine for big, bold meat dishes.",750 mL bottle,14.5%,"South Australia, Australia",Dandelion Vineyards Pty Ltd.,7 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,"April 1, 2021",,
Marchesi di Barolo La Tradizione Barolo,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/marchesi-di-barolo-la-tradizione-barolo-168179,$46.95,/content/dam/lcbo/products/168179.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The100% Nebbiolo Tradizione is sourced from select vineyards in Barolo, Monforte, Castiglione Falletto and La Morra. Intense red berries with spice and a lifted floral rose complexity. It can be enjoyed tonight with braised beef dishes or firm cheeses.",750 mL bottle,14.5%,"Piedmont, Italy",Marchesi Di Barolo,3 g/L,XD - Extra Dry,Full-bodied & Firm,Nebbiolo,"April 1, 2021",,
M. Chapoutier Les Vignes de Bila-Haut Côtes du Roussillon-Villages,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/m-chapoutier-les-vignes-de-bila-haut-c%C3%B4tes-du-roussillon-villages-168716,$15.95,/content/dam/lcbo/products/168716.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From the legendary Michel Chapoutier, this is a consistently highly rated wine that reliably delivers big flavour in an intense yet elegant package. Look for bold red and dark fruit, with earth and spice notes. Great for burgers, ribs or lamb.",750 mL bottle,14%,"Midi, France","AOC, France",4 g/L,XD - Extra Dry,Full-bodied & Smooth,Grenache/Syrah/Carignan,"April 1, 2021",,
Carmen Reserva 1850 Premier Carménère,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/carmen-reserva-1850-premier-carm%C3%A9n%C3%A8re-169052,$12.45,/content/dam/lcbo/products/169052.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby colour; coffee, prune, nuts, toast and honey aromas; medium bodied, extra dry wine; lively coffee and dried dark fruit flavours with toast and honey notes and good finish.",750 mL bottle,13.5%,Chile,Carmen Vineyards,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Carmenère,,,
Zonin Ripasso Valpolicella Superiore DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/zonin-ripasso-valpolicella-superiore-doc-170142,$18.75,/content/dam/lcbo/products/170142.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red colour; rich xmas cake aromas of red fruit, berries and spice; dry, medium body; a nice medium flavour intensity of ripe fruit, smooth, with spice finish.",750 mL bottle,14%,"Veneto, Italy",Zonin S.P.A.,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Ripasso,,,
Rivera Il Falcone Riserva Castel del Monte,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/rivera-il-falcone-riserva-castel-del-monte-177295,$24.95,/content/dam/lcbo/products/177295.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Crafted to offer an aromatic, fresh experience, with expressive red fruit and spice alongside herbs, mineral and earth undertones in a firm, balanced frame. A wine for braised or grilled fare.",750 mL bottle,13.5%,"Puglia, Italy",Azienda Vinicola Rivera Spa,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Nero di Troia,"April 1, 2021",,
Muga Reserva,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/muga-reserva-177345,$26.95,/content/dam/lcbo/products/177345.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From Spain's famed Rioja region, this ready-to-drink, Tempranillo-based blend features oodles of rich blackberry, cherry, woodsmoke, cedar and vanilla. Serve it alongside rotisserie chicken and roast potatoes or duck confit.",750 mL bottle,13%,"Rioja, Spain",Bodegas Muga S.A.,7 g/L,D - Dry,Full-bodied & Firm,Tempranillo Blend,"April 1, 2021",,
Sandbanks Cabernet Franc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/sandbanks-cabernet-franc-vqa-177485,$15.95,/content/dam/lcbo/products/177485.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright ruby colour; floral, plum and dried red pear with hints of chocolate and smoke; dry, light to medium body; plum and oak spice with fine tannins.",750 mL bottle,12.5%,"Ontario, Canada","Arterra Wines Canada, Inc.",7 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Franc,,,
13th Street Gamay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/13th-street-gamay-177824,$19.95,/content/dam/lcbo/products/177824.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A superb example of Ontario's proficiency with Gamay. This is always complex, with ripe cherry and plum fruit alongside touches of smoke, meat, pepper spice, herbs and underbrush. A substantial Gamay that will be great with a roast beef dinner.",750 mL bottle,12%,"Ontario, Canada",Thirteenth Street Wine Corp.,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,"April 1, 2021",,
Tini Sangiovese Romagna DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/tini-sangiovese-romagna-doc-179432,$8.30,/content/dam/lcbo/products/179432.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear ruby red colour; coffee, toast, licorice, floral and prune aromas; extra dry, light to medium body; coffee, spice and prune flavours with balanced acidity.",750 mL bottle,12%,"Emilia-Romagna, Italy",Caviro Soc. Coop.,14 g/L,D - Dry,Medium-bodied & Fruity,Sangiovese,,,
Hob Nob Pinot Noir Pays D'OC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/hob-nob-pinot-noir-pays-doc-184069,$12.80,/content/dam/lcbo/products/184069.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright ruby colour with pink rim; smoky, cherry and beetroot aromas with black olive note and floral lift; dry, medium body; juicy ripe berry flavour with medium finish.",750 mL bottle,12.5%,"South of France, France",George Duboeuf,7 g/L,D - Dry,Medium-bodied & Fruity,Pinot Noir,,,
B & G Partager Rouge,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/b-g-partager-rouge-186064,$15.10,/content/dam/lcbo/products/186064.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Garnet red colour; ripe dark berry and fruit aromas with toast and spice notes; soft fruit flavour, light tannin & light toasty medium length finish.",1500 mL bottle,12%,France,Barton & Guestier S.A.,8 g/L,D - Dry,Medium-bodied & Fruity,Blend,,,
First Press Napa Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/first-press-napa-cabernet-sauvignon-188110,$29.95,/content/dam/lcbo/products/188110.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This great value from Napa always offers great concentration and generous aromas and flavours of ripe fruit, chocolate and vanilla oak tones with underlying spice and herbs. Rich and intense, it delivers easy pleasure. Enjoy with pulled pork.",750 mL bottle,14.5%,"California, USA",Delicato Family Vineyards,6 g/L,D - Dry,Full-bodied & Firm,Cabernet Sauvignon,"April 1, 2021",,
Inniskillin Merlot VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/inniskillin-merlot-vqa-188177,$15.95,/content/dam/lcbo/products/188177.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby colour; upfront plum, candied fruit, licorice and smoke aromas; extra dry, light to medium body; rich plum, candy and spice flavours, well balanced with moderate tannins that could help it age up to 3 years.",750 mL bottle,13%,"Ontario, Canada","Arterra Wines Canada, Inc.",4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,,,
Gato Negro Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/gato-negro-cabernet-sauvignon-188193,$8.95,/content/dam/lcbo/products/188193.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red with garnet edge; floral, spice, berry cocktail, licorice and mushroom aromas; dry, medium body, soft fruit and soft medium tannin; an easy to enjoy dry wine with fruity, moderate  finish.",750 mL bottle,13%,Chile,Vina San Pedro,6 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon,,,
PKNT Carmenère Reserve,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pknt-carmen%C3%A8re-reserve-191858,$11.95,/content/dam/lcbo/products/191858.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear ruby red; floral, black olive, chocolate and spice notes; medium-plus body; black olive with hints of chocolate and spice flavours; medium ripe tannins in medium length finish.",750 mL bottle,13.5%,"Central Valley, Chile",Terraustral Wine Company,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Carmenère,,,
PKNT Cabernet Sauvignon Reserve,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pknt-cabernet-sauvignon-reserve-191866,$11.95,/content/dam/lcbo/products/191866.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Spicy notes of blackcurrant with a floral lift, toasted oak and black cardamom sustain this fruity gem from the Rapel Valley in Chile. Its intriguing name is pronounced 'picante.'",750 mL bottle,13.5%,"Central Valley, Chile",Terraustral Wine Company,7 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,,,
Farina Valpolicella Ripasso Superiore DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/farina-valpolicella-ripasso-superiore-doc-195966,$16.95,/content/dam/lcbo/products/195966.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear ruby red with purple highlights; chocolate, nutmeg and toast aromas with floral and fig notes; dry, medium to full body; forward fruit flavours, balanced acidity and soft tannins for a smooth finish.",750 mL bottle,13.5%,"Veneto, Italy",Azienda Vinicola Farina S.R.L.,8 g/L,D - Dry,Medium-bodied & Fruity,Ripasso,,,
Peller Family Vineyards Cabernet Merlot,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/peller-family-vineyards-cabernet-merlot-197954,$3.75,/content/dam/lcbo/products/197954.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Cabernet franc, cabernet sauvignon and merlot are classic blending partners, creating well-balanced wines that have the freshness and structure for food pairing. Extra dry and medium bodied, offering aromas and flavours of black plum, chocolate, cedar, smoky oak and cassis. Serve with flank steak and grilled vegetables.",200 mL bottle,12%,"Ontario, Canada",Andrew Peller Limited,8 g/L,D - Dry,Medium-bodied & Fruity,Blend,,,
Konzelmann Pinot Noir VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/konzelmann-pinot-noir-vqa-200584,$14.95,/content/dam/lcbo/products/200584.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red colour; floral aromas of black cherry, then smoke, beetroot and nutmeg; extra dry, med-bodied with good acidity, cherry, smoky oak flavours with light earthy/mineral and spice notes; quite smooth with soft tannins & a fruity finish.",750 mL bottle,13%,"Ontario, Canada",Konzelmann Vineyards Inc.,9 g/L,D - Dry,Medium-bodied & Fruity,Pinot Noir,,,
Lealtanza Reserva 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/lealtanza-reserva-2015-208223,$22.95,/content/dam/lcbo/products/208223.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"I have always enjoyed the ambiance of Lealtanza. This has a lovely, smooth texture and a lively fruit ambiance. The nose shows lifted redcurrant/sour cherry fruit, with roasted herbs (rosemary), pepper, cedary spice. There is also a meaty/chorizo note. It is medium bodied, almost svelte, plush and well balanced with fine tannin. The length is excellent.  Score - 91. (David Lawrason, winealign.com, Nov. 28, 2020)",750 mL bottle,13.5%,"Rioja, Spain",Bodegas Altanza,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Tempranillo,"April 3, 2021",,
Zenato Veneto Rosso IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/zenato-veneto-rosso-igt-208579,$11.65,/content/dam/lcbo/products/208579.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made from a blend of partially dried cabernet sauvignon, merlot and corvina grapes. This wine pours a deep ruby with purple highlights. On the nose, complex aromas of nuts, smoke, coffee, floral note and licorice. The palate is medium bodied, with soft tannins and flavours of nuts, coffee and spice.",750 mL bottle,13.5%,"Veneto, Italy",Azienda Vinicola Zenato,10 g/L,D - Dry,Full-bodied & Firm,Blend,,,
Columbia Crest H3 Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/columbia-crest-h3-cabernet-sauvignon-210047,$19.95,/content/dam/lcbo/products/210047.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Columbia Crest has risen from strength to strength since emerging in 1983, and Vintages customers have fallen in love with this focused and appealing Cab. Smooth, generous and fruity with chocolate and coffee notes. Try with coffee-and-porter-braised brisket.",750 mL bottle,14.5%,"Washington, USA",Ste. Michelle Wine Estates Fob,9 g/L,D - Dry,Full-bodied & Firm,Cabernet Sauvignon,"April 1, 2021",,
McManis Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/mcmanis-cabernet-sauvignon-212126,$19.95,/content/dam/lcbo/products/212126.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"With an attractive nose of ripe black fruit, cassis, vanilla and woodsmoke, this generous and easygoing crowd-pleaser is ideal for gatherings of all kinds. It will shine equally well with finger foods or with grilled steaks, gourmet burgers or grilled ribs.",750 mL bottle,13.5%,"California, USA",Mcmanis Family Vineyards,9 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,"April 1, 2021",,
Georges Duboeuf Beaujolais AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/georges-duboeuf-beaujolais-aoc-212480,$14.30,/content/dam/lcbo/products/212480.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Dark ruby colour; young berry fruit & cherry aromas; soft fruit flavour; easy drinking style.,750 mL bottle,13%,"Burgundy, France",George Duboeuf,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Beaujolais,,,
Georges Duboeuf Beaujolais Brouilly,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/georges-duboeuf-beaujolais-brouilly-213934,$18.95,/content/dam/lcbo/products/213934.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear ruby red colour; floral, prune, nutty and jammy aromas; extra dry, medium-plus body; lively fruit flavours with balanced medium acidity and medium length finish.",750 mL bottle,13%,"Burgundy, France",George Duboeuf,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Gamay,,,
L'Epayrie Special Reserve Rouge,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/lepayrie-special-reserve-rouge-214080,$10.75,/content/dam/lcbo/products/214080.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale ruby colour; licorice, smoky, coffee and dark fruit aromas; light spice and dark fruit flavours; clean finish.",1000 mL bottle,12%,France,Maison Tarride Ledroit & Cie,7 g/L,D - Dry,Medium-bodied & Fruity,Blend,,,
Eastdell Gamay Noir VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/eastdell-gamay-noir-vqa-214890,$11.05,/content/dam/lcbo/products/214890.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This inviting red offers bright aromas of fresh and preserved red berries, smoke, spice and red fruit. On the palate it is extra dry with light to medium weight and layers of red fruit, smoke and savoury spice culminating in a refreshing and flavourful finish.",750 mL bottle,12.5%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,5 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,,,
